rating,title,review
Excelent,A superb hotel,"My family and I had a very pleasant stay at the  Hampton Inn. The rooms were very clean & spacious. Very friendly and helpful staff who couldn’t do enough for us. A great free shuttle service will take you anywhere within a mile of the hotel!    My only criticism is the use of disposable cups, plates and plastic knives, forks and spoons at breakfast. But that seems to be the norm in most American hotels theses days!"
Excelent,Excellent Service,"The room was clean , service was excellent and the staff was very accomodating.Close to all amenities . Check in was easy and we were able to check in our luguage effortlessly . The Manager Lucas helped us with booking in and helping with finding the local shops - Business centre accessible.  Breakfast was good although busy due to Holiday season."
Very Good,Night before our cruise.,Overall a pleasant stay. Not a very reasonable value for one night stay. Little pricey. I love the cleanliness and helpfulness at the Hampton's but the price is a little much. I will continue to stay at an hampton when available but i do wish being a honors member would help make our stay more of a value. 
Excelent,Perfect for NYE celebrations,"We stayed here for 1 night over New Year’s Eve 2019/20 and it was an easy back from the Bayfront area where the fireworks were which is why we chose this hotel. The hotel was fresh and elegant, nicely decorated and a good layout. For NYE, we received a free alcoholic drink in the bar. A nice touch! The staff were as friendly and welcoming as you expect in Miami. Nearby there is shopping, restaurants, transport and anything else you to make your stay in Miami perfect!"
Very Good,"Convenient, clean, comfortable","This centrally located hotel was a nice find in the city.  Just south of downtown, easy access to Miami Beach and Little Havana.  There was a nice happy hour with a complimentary drink each and breakfast was actually quite nice for a buffet."
Excelent,Modern,"As a Hilton member, I really enjoyed staying here. It’s very clean and modern and located in a great in Downtown Miami. The staff was very friendly and it was super easy to check in and out using the app. I would definitely recommend staying here."
Excelent,Best bargain Downtown Miami,"This property is located one short block from Brickell Ave and is adjacent to the best restaurants, bars and walking area of Mary Brickell Village. The front desk staff are efficient and very friendly, particularly Victoria. Best value for your business or vacation dollar in this part of town."
Excelent,Very pleasant experience overall,"We loved the cleanliness of every space in the hotel. Bright and tastefully decorated. Most delighted in the staff, all friendly, courteous and knowledgeable. Ms. Greber at the desk was one of the loveliest people you could have the pleasure of dealing with. So absolutely genuine and kind. She went above and beyond. She truly enjoys her job! "
Excelent,A hotel you would want to book again and again,"We can not stop talking about how amazing our stay at The Hampton Inn & Suites was and how much we enjoyed our stay. This location lives up to its reviews. The staff was terrific, and the rooms/amenities were spotless and beautiful. Thank you for being accommodating and making the booking process easy and enjoyable. We will be staying here again and referring The Hampton Inn to other folks."
Excelent,"Clean, convenient & courteous!","I am very happy with my stay at this Hampton Inn! The location is great, the staff is so nice and the room was VERY clean.  The manager asked more than once how our stay was going and everyone was very friendly.  The hotel is family friendly and within walking distance of Starbucks & several great restaurants.  We will be back again! "
Average,Great location but overpriced,"Nice enough hotel but overpriced, especially if you choose the ""elite"" floor. There was no actual benefit for this, except we got 2 free waters. We found out from an elevator advertisement that it was supposed to come with drink tickets and had to ask for them.   It does have an excellent location and easy access to the Metromover to the left when exiting the hotel. If you exit to the right to the next street, there are a ton of restaurants. Do not go to the Asian restaurant next door, 3 Chefs. Two out of four of us got sick. "
Excelent,Really fantastic family hotel,"We arrived here just at the start of the pandemic, in early March.  We were nervous about travelling, but everything about this hotel put us at ease.  The room and common areas are impeccable, the pool area was a lot of fun, food was great and we felt welcomed!  This is our ""go to"" hotel in Miami from now on.  Location is great, its a little quiet but walking distance to the action."
Excelent,very nice hotel in great location,"This hotel is so close to all kinds of transportation. People mover, metrorail stops are very close. There is a Publix grocery store about 2 blocks away. The room we had was recently renovated with a large window. The hotel is usually full of cruise ship passengers coming and going. Not this time. The hotel was about empty. The staff were very gracious."
Excelent,Welcoming and comfortable hotel,"Well located, welcoming friendly staff. Good location, very comfortable, quiet. Nothing to fault it. 10 Mon stroll to the ocean. Underline Station to airport close hy. Great gastro pub under hotel too. Hotel reception is on the 6th floor. Stayed on 14th  very quiet and goof air con and shower etc. Nice bar and coffee facilities. Helpful reception staff. Recommended."
Excelent,Excellent experience,"Very good location, comfortable and spacious rooms with good buffet breakfast.  The personnel were very kind and helpful and were always there to assist you.  Next time we visit Miami, we will definitely stay there again. "
Excelent,Great place to Sleep on the way to Key West,"Great location between Everglades and Key West.  Nice hotel.  Great room.  Very clean,  people of front desk really helpful. We had to do our laundry and they were replacing the washers from the hotel so they helped us do it next door. Large parking area, swiming pool Good shower"
Excelent,Excellent stay,"Great location; walkable to everywhere, next to train station (airport and else) and metro mmover station (Broikell Line), near to restaurants, Publix market, etc. Nice room: cepacious, clean, quite, high floor and nice view. Good breakfast. Friendly and helpful staff especially Victoria (Reception) and Vivian (Breakfast). This is NOT our first stay and w'll definitely come back."
Poor,Com certeza não é Categoria e Padrão Hilton!,"I can't believe I'm staying at a Hilton Hotel! I've never seen anything like this in terms of bad service! At Check-in we were attended by the employee Deidre with no courtesy, bad temper and no manners - no training by the Hilton? Today at 5:05 PM, our room still hadn't been cleaned. Again we spoke to the receptionist Deidre, who simply said that she had ""nothing"" to do. There was no more Housekeeping!!! Incredible! This is not Hilton standard! want pictures of the room?"
Excelent,One night stay but definitely going back!,"The hotel is conveniently located to the water, top shopping, delicious restaurants, and cruise departure port. The hotel was clean, breakfast adequate and the staff was friendly and most helpful. I loved the convenience of walking to everything I needed. Great Brickell mall! Good food! Safe area! Only 10 minute ride to the cruise port. Definitely recommend. Didn’t use the pool, but was in a nice outdoor area."
Excelent,Nice Hampton Inn,This is great Hampton Inn. The front desk staff were friendly and courteous. The rooms and common areas were very clean and the breakfast was good. We stayed overnight prior to a cruise and will definitely consider this property again in the future.
Excelent,Great hotel!,"We stayed here for one night before our cruise. Lovely hotel! Perfect distance to the metromover.  Staff was so great. They upgraded us and we had a lovely suite on the top floor!  It was so clean and comfortable. Easy check in and check out. Great buffet in the morning.  Kind of an odd, unlabeled entrance when the uber dropped us off initially, we were not sure if we were in the right place but staff escorted us to the lobby on 6th floor and it was beautiful.  Will for sure stay here for our next cruise. "
Excelent,Awesome place,Great place comfortable setting. Love the scenic view of the city. Free breakfast was AWESOME!!! Because we were starving like Marvin 😂 we truely enjoyed the security guy David he was from where we from so great conversations. 
Very Good,New Year's eve in Miami,Great location and value given the dates over New Years and proximity to the New Years celebration downtown.  Complimentary breakfast was well above average.  Only downside was the bed wasn't very comfortable in my opinion.
Excelent,Helpful staff,"Staff was helpful and went out of their way to assist when the business center computers went down at 2AM.  Very pleased with the service.  Hotel breakfast was surprisingly nice, a lot of variety.  I would recommend this hotel to anyone looking for a downtown hotel."
Excelent,Post Covid Stay just as great as the always,"This has become our go to hotel in Miami for pre-cruise stays.  We stayed in Sept booking 2 rooms for myself and family. We love it for many reasons, but in no specific order,  You will love: The great clean rooms The fabulous staff How easy it is to get from the airport via the train Easy way to get around - Including the Free Miami Trolley just a block away Very Good Breakfast Many options near by for dinner  We will be staying there again in Dec. for our next cruise."
Average,The Curtain Story,"Average hotel. Very convenient location. Reception and breakfast was OK. Reception staff were extremely friendly and professional.  Once we checked-in, I was very disappointed when we noticed that  the windows had no curtains, black-outs or shades. Extremely odd. We were shocked. The least the hotel should do is place curtains for each room."
Excelent,Five star visit all around,"This was a solid 5 star experience. The building is well maintained, the room was spacious and the team were very friendly and helpful. My sister & I were making a sign for a ballgame and needed some office items (pen, tape). Marvens was very accommodating and helpful.  The breakfast was good and the area well maintained. I loved the PacMan & Galaxie machines- great touch."
Excelent,Centralized spot for travel.,House keeping Destinee went above and beyond to keep our room clean and supplies every day. Hotel was well decorated and staff very friendly. I would highly recommend this place. Parking is very secure and guarded. Convenient to airport and cruise line. 
Excelent,The best!,"Please stay here! Everything about this place is amazing and the customer service is out of this world!! As soon as we walked through the door, just the air was welcoming..haha. The room was very spacious and CLEAN and there’s so many nice lounges, bars, restaurants and stores  in walking distance."
Excelent,Very convenient location,This hotel is in a great neighborhood; very safe and clean area.  Lots of restaurants nearby.  The hotel itself offers great amenities for a family trip.  Excellent facility; and the staff is very accommodating.  Expect to pay for parking and a rollaway.
Average,Construction noise unbearable,"Construction was next to my room and they start at 8 am… I felt someone is drilling in my head. Was unbearable. Also breakfast was subpar to Hampton Inn.. Usually it is better than this. The hotel is clean and new and staff are nice, but like I said."
Excelent,The place to stay!,Clean. Professional staff. Friendly staff. Great breakfast. In the heart of many great good establishments. Worth the price. Rooms are good-smelling! Atmosphere is warm. Smell good throughout the facility. 
Excelent,Birthday Trip,Had a great experience. All the staff was very helpful and friendly. Located near some great restaurants and nightlife experience. Also appeared to be a very family friendly hotel. The complimentary breakfast was very good. I have had complimentary breakfast at other hotels but this by far was the best. I would definitely stay here again if I was traveling to Miami again.
Excelent,Great Hotel!,We recently stayed at Hampton Inn and Suites in Downtown Miami Brickell. The hotel staff was friendly. Our room was very nice and clean. The lobby was well maintained and clean. We would stay at this hotel again.
Excelent,Great room and great service.,"Upon check in I was greeted, process was fast and with a smile. Room was clean and had a great view. Loved the pool and everyone was kind and attentive. Wish I could’ve experienced the restaurants but didn’t have time, they still looked beautiful. The breakfast as well. Will definitely stay here again."
Very Good,Great location,Great location for my purposes. Close to lots of restaurant. Easy access to transit with nearby train and bus station. Some shopping around but I didn't do much of. Lots of parking albeit for a fee. Hotel was clean and rooms were well kept. Staff was very friendly and hospitable 
Excelent,Good location and service,"This is a nice, safe location. Staff was friendly and helpful. Complimentary breakfast was good. We came for next day cruise. There was a shuttle for a cost available to the port. Coyo Taco was in walking distance. Plus 2 other eating places & sports bar. We were very pleased with everything."
Excelent,Nothing wrong here,"We stayed one night before our cruise out of the Miami port.  There are 3 restaurants connected to the hotel.  We enjoyed sitting outside on the deck of the Gastro Pub, and our meal was fine.  There is a pool and bar in the hotel which are very well appointed.  Our room was very nice, the shuttle to the port was very handy and no complaints about this hotel.  I would stay again."
Excelent,Amazing hotel and affordable during spring break.,Hotel has every amenity you can think of.  Amazing free breakfast in the morning. Very nice pool and fitness center. It's also very close to a strip mall that's walking distance. I was here for a cruise and it was very close by. Front desk was very friendly as well.
Excelent,Pre cruise stay,"Just like all the other review, we had a fantastic stay.  Area is awesome with lots of restaurants to walk through.  Hotel staff was very nice and bonus cocktail reception was a nice plus. Breakfast was super busy but they did a good job restocking everything.   Would stay again pre cruise no doubt."
Excelent,Miami pre cruise vacation,Great stay in an amazing location with top notch service.  The rooms were clean and spacious.  The beds and pillows were very comfortable and clean.  We went to the bar and got prompt and friendly service plus complimentary drink.  
Excelent,Great place to stay.,"My family and I had a great visit. The room was clean and the hotel nice. John at the front desk was really great. The bar was closed, so that was the only bummer but overall, I would definitely go back again."
Excelent,Well run hotel in Miami,"First time in Miami. Excellent hotel.Arrived early,left suitcase at the hotel and took the monorail half a block away to a huge indoor mall. You can see monorail from hotel,and only a few $$. Staff so helpful and called us near noon to say our room was ready....we were up all night traveling..Rooms were exactly as they should be,and breakfast was as usual for Hampton Inn,something for everyone.and kept well stocked.Will definitely use this hotel on my next cruise or holiday. Hotel has its on shuttle to cruise ship."
Very Good,Nice hotel,Friendly staff. Good location from cruise port. Stayed here before. Fun pool area with bar walk up window. A bit pricey overall but Brickell is a spendy neighborhood.  Pizza place around the corner is great.  Bartenders are nice and good cocktail builders.  
Excelent,John P was amazing.,"Great place , awesome service. Makes me love Florida more. I would definitely recommend this place to friends and family. Awesome !  Shout out to John Papazoglou Looking out for my family at the last minute to check in, He still looked out."
Excelent,What a great property!,"Wonderful hotel.  Great staff - David checked us in and was so welcoming!  Great rooms, fitness center, breakfast. Close to the Metrorail and restaurants.  This place has a lot going for it and it is very easy to recommend it!"
Excelent,Icing on the cake of family vacation,"This hotel was all I hoped for, clean, professional staff, great amenities and affordable.  I will definitely be returning.  The hotel made a great famiy vacation into an amazing family vacation!  Perfect location. "
Excelent,This place rocks,Such a nice location in Miami . Close enough to experience the downtown nightlife and the beach all in one night. I'd definitely go back to this hotel and stay again . The breakfast was great and the staff was even better.
Excelent,Best Service Ever!!!!,"From the moment I walked into the door I was greeted professionally .I'm giving a big shout out to Victoria for such amazing service. She was very hospitable, knowledgeable and fast. I cant wait to co.e back"
Excelent,Excellent hotel!!!!!,Very clean.  Convenient location.  Close to some very good restaurants (especially Batch).  Reasonably close to beach.  Very easy to get to airport. Complementary drinks and snacks.  Easy parking. Would definitely recommend staying at this hotel.  
Excelent,Great Location,"Would definitely recommend a stay at this Hotel. Friendly and helpful staff and a buffet breakfast included in our stay. Great location with restaurants, shops and the the metro train service all near by.  "
Very Good,Girls trip,Perfect location. Away from the beach crowd but a short drive to it. Nice downtown area with shops and restaurants to walk to. Not a long drive to the airport. Staff is friendly. Rooftop pool was nice although we didn’t have time to get in. 
Excelent,Great stay friendliest staff ever!,Great hotel but what stands out for me is the friendliness and helpfulness of the staff. Nothingness too much trouble for them and plenty of time to discuss my requirements. Trainee concierge was a gem too lovely smile and so happy. Pleasure staying at Hampton Inn
Excelent,WOW!,"My family and I travel quite a bit and have stayed at some really nice hotels and resorts through the years as well as some common, large hotel chains. I searched numerous hotels and read tons of reviews on Trip advisor before ultimately selecting this property due to the rave reviews it received. This hotel definitely did not disappoint. As a matter of fact there were so many reasons to say ""Wow!"" The hotel is simply beautiful! This was not at all what we would have expected from a Hampton Inn. There were so many wonderful features. The beds were incredibly comfortable, the staff was accommodating for our late night check in and the hotel ensured guest safety by requiring a key to access all guest floors. There's a fun interactive painting of doors by the check in desk that my"
Terrible,Tried to scam money,This is the second time i stayed at this hotel and will be the last. Watch out for their scam. I came back to Australia and found out someone from the hotel used my credit card after I left. They took 880 australian. My bank stopped my card and asked me to ring them. When i did so the manager said no one at the hotel had done this and there were no record of these charges. They even said it may be a different hampton inn and could i come in to see them. So they are ignorant of where australia is!! Not surprising. Anyway i get a survey to fill in about how i rated the hotel😂😂😂 Not surprisingly after i filled in the survey I  an email from the manager to say now yes they did take this money and please could they contact my bank!! Still waiting for the charges to be reversed. I
Terrible,Slamming Doors. Thin Walls. No Sleep :(,Entering the hotel we were confronted with the first problem. We had seven suitcases. We were dropped at the front door by the taxi that indicated to the concierge that we would need help. But unfortunately the concierge did nothing. Just stood there and watched us. We dragged our bags to the elevator and then went to the 6th floor where once again I had to drag the bags from the elevator to reception. No one offered any help. We asked reception for a porter and they said they don't have porters. I asked how we would get our bags from the elevator to the room. After signing in we still had to ask for a trolley to put our bags on. Only then did the receptionist get a trolley for us. The next negative thing we experienced was the noise. It seemed to be that there was a general
Excelent,Great choice for pre-cruise,"We stayed here one night pre-cruise. We were delighted at how nice the hotel was, after a long transcontinental flight. Check-in was a breeze, and we were pleasantly surprised with the extra amenities on the ""elite"" floor.  The room was clean and fresh, and the bed was very comfortable. The pool was a great place to relax after the long flight, and the pool bar staff were very attentive. We were also impressed with all of the artwork that was showcased throughout the hotel.  The hotel is in a convenient location, with a number of restaurants nearby, and a Publix within a few blocks for the last minute supplies for our trip. Our Uber ride from Ft Lauderdale airport was less than $40, and the taxi to the port was under $15.   The complimentary breakfast was much more extensive"
Average,Nice but not perfect,"I picked this hotel based on the reviews on TripAdvisor and was a bit disappointed given the high ranking. First, and most important, the hotel is clean and safe. The staff were all pleasurable and the property is centrally located close to many restaurants and shopping.   The room itself did have a few issues that made the stay less than perfect.  The most annoying was the fact you could not adjust the cooling below 70 degrees. The hotel limited this temperature on the thermostat. Given that you are in Miami with humidity, I could not keep the room at a comfortable temperature.  You could not also adjust the thermostat so that you could keep the fan running unless the unit was cooling. This would have been nice to keep the air circulating and create white noise.   With no"
Excelent,The Only Place I Will Stay in Miami,"My wife and I have stayed in the past at this absolutely wonderful hotel. We recently returned for two nights for a pre and post cruise stay.  The Staff are outstanding and very accommodating. It is obvious that they take pride in their work. We were given an upgraded room on the 15 floor with a lovely view. The room was spacious, clean and so comfortable.  Breakfast was yummy with a well stocked breakfast area. Tables are kept cleaned, we even noticed the Supervisor helping out.  Two complimentary drink tickets are included which was a nice touch that we enjoyed sitting at the bar which overlooks the pool area. The pool was great as was the jacuzzi.  Brickell is a nice area of Miami. The free Metro Mover is nearby. We took the Orange Line Metro Train to and from the airport for"
Excelent,Pre cruise,"We booked here after reading all the great reviews. Took a taxi from airport, should have taken the metro, it was almost across the st from the hotel. We were on an early flight and room wasn't ready yet, they put us on a list and called as soon as the room was ready. We actually got upgraded to a king suite which was awesome. The room was beautiful no issues at all. Each quest is given a coupon for a free drink at the bar, we enjoyed ours by the pool. The breakfast in the morning was very well done. Coffee and tea are  located in several areas so it's not so congested. Many food choices. The area is very clean. The staff are all very friendly and professional. We signed up for the shuttle to the port, 8 dollars per person. We ate at the restaurant next door, and that was very"
Terrible,75 Degrees Fahrenheit in your room,Upon arrival I found my room at 75 F. Turns out the Airconditioning has a motion sensor. If nobody's in the room the temperature defaults to 75 F.  The first room I got had a motion sensor defect. No A/C in Miami was not an option. Then the second room I was assigned to had a working A/C unit but turns out that the blower was preset to low and the lowest temperature possible was also preset to 69 F.  The front desk told me to wait 30 minutes and to move around in my room to activate the motion sensor.  After 30 minutes of waiting and moving around the temperature remained at 75 F in my room and I decided to leave the hotel.  I was soaked in sweat. Enough!  This is a place for people who like it warm. I saw many happy and sweaty tourists in the elevator in flip flops and shorts. 
Average,Nice hotel....so-so neighborhood.,"I stayed at this hotel for a pre-cruise stay before sailing off to the Bahamas in May 2016.  I am going to start off by saying I am on a different plane than everybody else who reviews this hotel.  I liked this hotel but I really didn’t like the neighborhood.  Let’s start at the beginning.  When we arrived, we were directed to the reception/lobby located on the 6th floor.  The Concierge is on the 1st floor and parking is from floors 2-5.  We were welcomed warmly by staff everywhere we went and treated my toddler daughter well.  The room was good, cool (temperature-wise), super clean and modern.  I only booked a regular room, not a suite, so my room did not have a microwave or a refrigerator.  I don’t like that.  I don’t feel like being properly dressed to go down the hall to get"
Terrible,"this is a 1 star hotel, do not understand all the rave reviews","I checked into my usd 350 per night "" suite "" and found that it had no minibar/refrigerator, so went back down to the reception which is on the 6th floor, not at the gorund floor, which really would have been a lot more logical, anyway, in order to get a regrigerator I need to pay usd 50 more per day, making it an even usd 400.  when I tried to tell the guys at the recception that I had NEVER been in any hotel room, anywhere in the world which did not have a refrigerator, there was one guy in particular who was obnoxious and started arguing with me, he told me the option to have a refrigerator was on their website, I honestly do not remember that, but that is not something I would EVER look for !! I really take that for granted, especially at usd 350 per day !  His name was"
Poor,Disappointed in Hampton Inn - do not recommend,"It is not often that I find myself leaving a negative review, however, Hampton Inn truly does not leave me any other choice. There were benefits to this hotel - location, clean room, and nice pool area.   We stayed on Saturday, December 27th and experienced an excessive amount of noise (banging, to be exact). When my husband provided this information, instead of an apology, he received a defensive reaction regarding NYE approaching and that it was our responsibility to contact security. There was no attempt to provide a genuine and empathetic answer.   Having traveled to eleven countries in 2014 with countless positive interactions with hotels, I do not appreciate the condescending tone of their response, and for us, it confirms our decision to support other hotel chains that"
Excelent,Before cruise stay,"What an awesome hotel in the heart of Miami!  We had two rooms booked for my family and I prior to our cruise and we enjoyed our stay.  The rooms were clean, bed comfy and nice views. We used the pool and it had even better views on the 6th floor and it is an outdoor pool.  The pool was very warm in fact Miami warm and there is a bar just inside the doors.  Breakfast was awesome! We found a Publix grocery store close by and purchased dinner there and brought it back to the room instead of the many dining options in the area to save $$$. In the morning the hotel concierge ordered us a cab for the seven of us and it took us less than 10 minutes to get to the port. We will stay again the next time we cruise out of Miami"
Excelent,"Stayed November 23, 2013 Pre Cruise","We stayed here the night before our cruise. We have cruised out of Miami several times but have never stayed pre cruise before.   Being unaware of Downtown Miami and the surroundings I was uneasy with making reservations anywhere. Originally our reservations were made with the Hyatt. Afterwards, I read reviews of hotels downtown and this hotel had excellent reviews along with the Mary Brickell village. I was also impressed that the manager Eduardo replied to the reviews, which assured me that he was dedicated to customer opinions and what was needed, if any for improvement. For that reason I switched my reservation from the Hyatt to this hotel and used the Florida Resident rate online.  Upon arriving at the hotel to check in we found out that the room that I booked online was"
Terrible,Very Disappointed,"I have stayed here before and I do business in the area for the Federal Government.  Recently the hotel decided to not offer the approved federal government rates even though I made the reservation and checked federal rate (their rate was higher than the approved rate, but still advertised it at the federal rate).  When I called Management they were less than helpful resolving the issue.  The management at the South Beach Marriott really helped my travel companions out and were more than happy to offer the military the approved rate.  The workers in the kitchen and front desk are very nice, but it's a shame that 40 of my Hilton Gold members coworkers staying in Miami over 400 nights a year will now be staying somewhere else."
Excelent,Great Miami Hotel,"We stayed at the Hampton Inn & Suites Miami Brickell for 6 nights (1/22 – 1/28/2012). We arrived early in the morning, after a cruise, so we need to leave our luggage at the hotel greeting area on the first floor because there is no room available at that moment.  The first five floors are parking spaces and the hotel lobby itself as well as the breakfast area were located on the 6th floor. The room was spacious and clean with very comfortable beds. The bathroom is functional and clean (it would be better if more hangers were available). There is a metromover station (downtown Miami free transportation vehicle)  and a Metrorail (subway) station on the corner as well as lots of restaurants nearby. Two Publix (supermarket) are also available at two/three blocks of distance. There"
Terrible,They threw my mom out!,"Stayed here for 2 nights, 12/13 and 12/14 with some buddies to celebrate the end of college final exams before heading home to NJ. Great area in downtown close to bars and restaurants. Found out a week before my trip that my mother was staying on a yacht with friends a few blocks away at Vice City Marina. My buddies and I had to leave the hotel at 10am for an 11am excursion out of Bayside Marketplace. I told my mom to come meet me on the 6th floor lobby at 7:30am Saturday morning so we could have coffee and talk for an hour or so since my buddies were asleep upstairs and were going to be getting up soon to shower. My mom brought us a left over sandwich platter from La Sandwicherie in Brickell to give us and arrived to the hotel about 15 minutes early. I told her to grab a table"
Excelent,A Fantastic Stay!,"After a long flight and a sketchy cab ride we arrived late evening the night prior to our cruise departure. Exhausted, we were met at reception by John. He immediately made us feel welcome. A recent member to the Hilton Honours Program, I had not accumulated any points to warrant an upgrade. That’s exactly what John gave us, 16 th floor allocated to Elite members. The King Suite was well appointed. Complimentary snacks, pop, water and chocolate bar. Nespresso machine was much appreciated in the morning. Loved the bathroom amenities and rain head shower. We headed down to the bar after settling into our room for drinks with the voucher given to us at check in. WiFi was complimentary and worked well.  Breakfast was included in the price of the room and had a great selection. It"
Excelent,Perfect pre-cruise convenience,"My boyfriend and I were going on our first cruise. I wanted to find a hotel that wasn't too far from the port but not too expensive. I also prefer two queen beds (not double). My boyfriend is tall so he needs the longer bed. We booked a room that included a shuttle to the port.   This location is great. We were able to take the train from MIA. The hotel is just steps from the station. From the hotel, we could walk to a bunch of different restaurants. It's also convenient and affordable to take an Uber or Lyft to other locations. I highly recommend checking out Coyo Taco which is within a block of the hotel.  The room was clean. I loved that the mirror was heated so you could see it after someone took a shower. Nice touch. The employees were helpful. They held my suitcase for the"
Excelent,Impressive value for the quality of stay.,"Stayed here twice and delighted with extremely polite and welcoming staff, modern clean decor and and value for money.  Hampton Inn breakfast offerings very good and was impressed every day by staff such as Stephania who never stopped clearing, restocking and helping people individually. (Am always disgusted by mentality of guests who can't even be bothered to drop a cup in the trash on their way out let alone clear their own mess.) Thanks Stephania! Unfortunately because of the huge cruise crowd who stay here before the boarding breakfast is usually a rush if your timing is poor. Had to wait around for a table to empty several times. (Need for a few more for couples.)  Rooms comfortable and clean. Elite floors offer a little more if you either reserve or get upgraded but don't"
Terrible,Charged for the room even though I had to cancel...,"I cancelled my room in November because it was a little more than I thought I could afford right at Christmas....I stayed in a room at a Marriott facility and used points I had accumulated...the day we were leaving Florida I got an email from this Hampton Inn thanking me for staying...I immediately called and spoke with the desk clerk telling her I didn't stay there and had to cancel...I told her she should see that we never checked in..she said unless I could prove that I had cancelled, my credit card would be billed $200.00 even though it could have been a computer glitche.....I could not find the cancellation and my credit card has been charged!!! I spoke with a Hilton Honors representative last night who was very kind and understanding but she could not help get my money"
Excelent,This is not your typical Hampton Inn.,This is probably the value for your money in Miami.  This is not your typical Hampton Inn.  Amazing accommodations and service. The rooms are large and you have an awesome view of Miami.  The hotel is very clean and elegant in addition to being very spacious. The conference rooms are well appointed.
Average,Lots of problems,"I want to be sure others who rely on Trip Advisor have a solid perception of this hotel. It may very well be a decent value for the money. It is not the number one hotel in Miami, especially given the problems we encountered.  First BIG problem: hotel did not have our reservation in its system. Which normally is not a problem since I had booked through Hilton.com and had a confirmation in my hand. Except...they made us stand there a full 45 minutes while they sorted out the reason for the glitch (this being at 8 pm at night after a 2 1/2 hour flight). They literally told me despite my confirmation they could not check me in. THAT is ridiculous.  Second problem: the towel rod in the bathroom dropped off the wall the first time I went to get a towel from it. Quickly repaired? Yes."
Very Good,Great Place to Stay before a cruise,Went on a cruise in September and took a chance with this hotel.  What a pleasant surprise!  We choose the larger 2 queen room and it was very spacious and accommodating.  Since we are residents of Florida we opted for the resident package which gave us free parking and 2 drinks in the hotel bar.  Parking is $18 a night but for Miami that is the going rate.  The free breakfast comes with every room type which is a great plus and believe it or not it was quite good especially the make it yourself waffles and toppings.  We only had one problem and that was the reservation system was down our entire stay so we had to be escorted to our room twice on our first night and then again the next day after breakfast because none of the room keys that were being made would work.  You are
Average,Great for location.  Not so great for everything else,"No question that the location is the ideal, so if that's your focus this might be the best choice for you.  But if you're looking for an awesome room or service that knocks your socks off, this is not the place.  Additionally it is overpriced for what it is.  Now to be fair, this is a Hampton Inn and it doesn't claim to be any more than that.  So for those that complain about the lack of room service, valet parking, bellman, an actual restaurant, etc...  this is not a Hilton, Marriott nor a Hyatt so you shouldn't expect any of that.  No Hamptons have these services as Hampton Inn is the lower category brand of the Hilton family, similar to a Holiday Inn Express.  But on the other hand most Hamptons provide microwaves and mini-fridges in every room, so going in knowing and"
Terrible,Disappointed Customer,I booked a suite for 1 night on 2/22/14 for $303.00 and checked in at 12midnight (it was just to sleep before I arrived to my next destination).  When I arrived to the suite the toilet was broken and it took 1 hour for someone to arrive to fix it.  Theat person who arrived to fix it was the security guard on call and all he did was bring me a plunger and towels to put on the floor.  The next morning when I checked out I complained to the manager on duty and she was embarrassed and to make up for the inconvenience she said they would give me a free night stay per company policy.  She said she would send me an email confirmation.  It has been 2 months since that night and I still have not received that email confirmation.   I am very appalled with the hotel.
Excelent,Convenient,"We stayed here for 2 nights before a cruise. It is downtown, not on the beach but in a really good location. We arrived by sky train from the airport ($2.25) and walked to the hotel. Really convenient. It is around the corner from both the railway and the monorail. The hotel itself is clean, modern with very large rooms. The bathroom was immaculate and the room was spacious and we'll lit. The breakfast was good with a big selection and there is a nice bar for that night cap. You couldn't ask for more. The staff were professional and very helpful. The concierge was particularly knowledgeable. A very short walk from the hotel is everything you could need. Restaurants, bars, and drugstore. Overall a really good hotel in a convenient location."
Excelent,Best value and service in downtown Miami,"I had 21 stays at this property in 2013 (qualified for Hilton Gold just based on stays at this hotel) so I've had the chance to see every room configuration and use all the amenities numerous times. I've also stayed at many other hotels in Miami (including JW Marriott Marquis, Conrad and others) and this hotel is hands down my favorite. Customer service is a top priority, and the friendliness of the staff far exceeds the experience at other, much more expensive hotels.  The main level of the hotel is the large and impressive sky lobby on the 6th floor (typical for Miami hotels) which has the registration desk, concierge, pool, fitness center, bar and breakfast area. Check in is usually fast and the front desk staff (Francisco / Rodney / Eric and others) are efficient and very"
